Mat1	Mat2	Mat3	Pat1	Pat2	Pat3	w0	theta0	d	q	p	w	R	theta	a	payoff	delta	elig	ztheta	gnum	inum	female	SubPop	Alive
0.5	0.1	-0.0518598	0.5	0.1	-0.0369848	1	0.2	-0.0888446	0	-0.0888446	2.98358	3.01546	0.232017	0.17048	2.58387	0.03321	-25.2862	-25.2862	1	1	1	0	1
0.5	0.1	-0.025222	0.5	0.1	0.00023105	1	0.2	-0.0249909	1	0.975009	2.60029	2.51631	1.13993	1.15791	2.5864	-0.087483	6.72142	6.72142	1	2	1	0	1
0.5	0.1	-0.0516193	0.5	0.1	-0.0988833	1	0.2	-0.150503	1	0.849497	3.26981	3.21719	0.90743	0.830238	2.99664	-0.0548206	-29.5796	-29.5796	2	1	1	0	1
0.5	0.1	-0.0518598	0.5	0.1	-0.0518598	1	0.2	-0.10372	1	0.89628	3.27963	3.21042	0.942262	0.877851	2.97189	-0.0720862	-24.3599	-24.3599	2	2	1	0	1
0.5	0.1	-0.0369848	0.5	0.1	-0.0716058	1	0.2	-0.108591	0	-0.108591	1.90479	1.87695	0.443363	0.461882	1.88404	-0.0289984	7.23947	7.23947	3	1	1	0	1
0.5	0.1	-0.0516193	0.5	0.1	-0.133881	1	0.2	-0.1855	0	-0.1855	1.95812	1.98375	0.383487	0.373092	1.9279	0.0267035	-4.24869	-4.24869	3	2	1	0	1
0.5	0.1	-0.0516193	0.5	0.1	-0.0967635	1	0.2	-0.148383	1	0.851617	2.49512	2.59945	1.12318	1.11449	2.5361	0.108681	-3.80336	-3.80336	4	1	1	0	1
0.5	0.1	-0.0776376	0.5	0.1	-0.0516193	1	0.2	-0.129257	0	-0.129257	2.93526	2.93745	0.271042	0.344537	2.60442	0.00228227	29.4519	29.4519	4	2	1	0	1
0.5	0.1	-0.0419858	0.5	0.1	0.0604329	1	0.2	0.0184471	0	0.0184471	1.94681	2.00193	0.533022	0.596156	1.82497	0.0574101	26.4691	26.4691	5	1	1	0	1
0.5	0.1	-0.0369848	0.5	0.1	-0.0716058	1	0.2	-0.108591	0	-0.108591	2.09889	2.22056	0.388494	0.413717	2.01825	0.126735	11.2273	11.2273	5	2	1	0	1
0.5	0.1	-0.0419858	0.5	0.1	-0.0699039	1	0.2	-0.11189	0	-0.11189	1.9515	1.74501	0.436544	0.395034	1.93299	-0.21509	-14.1665	-14.1665	6	1	1	0	1
0.5	0.1	-0.0716058	0.5	0.1	-0.073444	1	0.2	-0.14505	0	-0.14505	1.95906	1.87989	0.428715	0.295751	1.94992	-0.0824648	-49.8939	-49.8939	6	2	1	0	1
0.5	0.1	-0.0988833	0.5	0.1	-0.0369848	1	0.2	-0.135868	1	0.864132	2.51577	2.57924	1.13056	1.04224	2.49793	0.066114	-37.3006	-37.3006	7	1	1	0	1
0.5	0.1	-0.0518598	0.5	0.1	-0.0518598	1	0.2	-0.10372	0	-0.10372	2.96803	2.85589	0.270474	0.322599	2.62553	-0.116811	19.0679	19.0679	7	2	1	0	1
0.5	0.1	-0.0369848	0.5	0.1	0.0105206	1	0.2	-0.0264642	1	0.973536	3.3528	3.45413	1.04045	1.1515	3.08649	0.105554	48.5191	48.5191	8	1	1	0	1
0.5	0.1	-0.111776	0.5	0.1	-0.100105	1	0.2	-0.211881	1	0.788119	3.32413	3.43331	0.901602	1.00197	3.13908	0.113735	44.1671	44.1671	8	2	1	0	1
0.5	0.1	-0.0395176	0.5	0.1	-0.0716058	1	0.2	-0.111123	0	-0.111123	2.04467	2.01755	0.426205	0.347511	1.99666	-0.0282485	-30.782	-30.782	9	1	1	0	1
0.5	0.1	-0.0518598	0.5	0.1	0.0240195	1	0.2	-0.0278403	0	-0.0278403	1.98836	1.87417	0.489753	0.467562	1.93988	-0.118948	-8.10526	-8.10526	9	2	1	0	1
0.5	0.1	-0.0516193	0.5	0.1	-0.0369848	1	0.2	-0.0886042	1	0.911396	2.39262	2.30772	1.15512	1.04603	2.44496	-0.0884448	-40.752	-40.752	10	1	1	0	1
0.5	0.1	-0.138395	0.5	0.1	-0.0776376	1	0.2	-0.216033	0	-0.216033	2.9748	2.83576	0.136402	0.0886521	2.65707	-0.144842	-17.1165	-17.1165	10	2	1	0	1
0.5	0.1	-0.0716058	0.5	0.1	-0.0875172	1	0.2	-0.159123	0	-0.159123	1.92022	1.96658	0.377332	0.274085	1.88535	0.0482958	-42.9586	-42.9586	11	1	1	0	1
0.5	0.1	-0.012993	0.5	0.1	-0.133881	1	0.2	-0.146874	0	-0.146874	1.86945	1.69987	0.41121	0.452899	1.8582	-0.176652	14.6108	14.6108	11	2	1	0	1
0.5	0.1	-0.0369848	0.5	0.1	-0.0988833	1	0.2	-0.135868	1	0.864132	3.32453	3.28567	0.926001	0.934494	3.12856	-0.0404865	3.29069	3.29069	12	1	1	0	1
