t	w1	w2	theta1	theta2
125	1.80921	1.90979	0.181477	0.441924
126	1.81402	1.91747	0.186285	0.437734
127	1.82122	1.92346	0.183884	0.44168
128	1.82889	1.93219	0.188742	0.446419
129	1.83086	1.93998	0.192303	0.43484
130	1.83354	1.94311	0.191996	0.433197
131	1.83341	1.94669	0.191877	0.42755
132	1.83524	1.95172	0.193569	0.423054
133	1.84081	1.95504	0.189326	0.425729
134	1.84925	1.95929	0.179937	0.433426
135	1.84843	1.95824	0.180233	0.43463
136	1.85202	1.96345	0.182846	0.433502
137	1.85416	1.96471	0.18205	0.433162
138	1.86285	1.96773	0.169026	0.439428
139	1.87073	1.97745	0.180512	0.449388
140	1.87243	1.97997	0.180987	0.447671
141	1.8795	1.98659	0.183539	0.453966
142	1.8792	1.98535	0.183718	0.455206
143	1.88137	1.98263	0.17953	0.454791
144	1.88886	1.98678	0.174219	0.460459
145	1.8926	1.98994	0.174279	0.460557
146	1.90428	1.99626	0.164579	0.477793
147	1.91259	2.00533	0.174546	0.486693
148	1.91693	2.00611	0.169997	0.48693
149	1.92233	2.01087	0.17132	0.488333
150	1.92933	2.01587	0.170709	0.492859
151	1.92793	2.01365	0.171457	0.496081
152	1.92941	2.01725	0.172687	0.492093
153	1.93133	2.019	0.172739	0.490947
154	1.93619	2.02311	0.173381	0.49194
155	1.94523	2.02628	0.161683	0.498213
156	1.95252	2.02992	0.15814	0.502756
157	1.95493	2.02719	0.154254	0.502215
158	1.95792	2.03125	0.156798	0.500745
159	1.96307	2.03366	0.154931	0.502433
160	1.9611	2.02807	0.157888	0.507837
161	1.96678	2.03366	0.161308	0.510422
162	1.97132	2.04155	0.169023	0.509109
163	1.97657	2.04429	0.166459	0.510992
164	1.97993	2.05067	0.171172	0.508631
165	1.98134	2.05371	0.172073	0.506496
166	1.99293	2.06541	0.18788	0.533737
167	1.99813	2.07317	0.193926	0.532951
168	2.00265	2.08693	0.209341	0.523848
169	2.01031	2.09323	0.208013	0.531387
170	2.01933	2.10157	0.210805	0.543531
171	2.02158	2.10548	0.211467	0.540465
172	2.02691	2.11142	0.213065	0.54194
173	2.02924	2.11122	0.210161	0.541984
174	2.03493	2.11646	0.210107	0.544639
175	2.03798	2.12029	0.210533	0.543381
176	2.04291	2.12216	0.205415	0.544558
177	2.04463	2.12462	0.205528	0.543098
178	2.04853	2.12884	0.206261	0.543501
179	2.04885	2.127	0.205884	0.544562
180	2.04899	2.13068	0.20601	0.540081
181	2.05419	2.13694	0.209468	0.543205
182	2.05439	2.13422	0.209176	0.544465
183	2.05431	2.13634	0.209144	0.542134
184	2.05435	2.13517	0.209109	0.54293
185	2.04995	2.13001	0.214266	0.552805
186	2.04921	2.13119	0.214199	0.551075
187	2.05108	2.13278	0.21345	0.550241
188	2.04664	2.12814	0.218095	0.560343
189	2.04452	2.12437	0.221224	0.566523
190	2.04952	2.12849	0.219073	0.566695
191	2.05669	2.13361	0.21538	0.570849
192	2.06421	2.14251	0.22196	0.576448
193	2.07635	2.1545	0.23349	0.601256
194	2.08178	2.15871	0.230232	0.600664
195	2.08465	2.16351	0.231095	0.595583
196	2.08998	2.16888	0.230854	0.595173
197	2.09313	2.17496	0.233234	0.589967
198	2.09496	2.17902	0.233869	0.58571
199	2.10095	2.18892	0.242967	0.587241
200	2.10252	2.1903	0.241959	0.586152
201	2.10637	2.19458	0.241592	0.585452
202	2.11046	2.1968	0.238021	0.585803
203	2.1152	2.20362	0.24147	0.586295
204	2.12151	2.20744	0.236861	0.589794
205	2.12401	2.20712	0.233605	0.589824
206	2.12689	2.20583	0.228656	0.589578
207	2.12928	2.20879	0.228733	0.588527
208	2.13271	2.21501	0.23215	0.58743
209	2.14003	2.22103	0.232575	0.595286
210	2.14207	2.22361	0.232565	0.594193
211	2.14819	2.23203	0.240029	0.599979
212	2.14712	2.23204	0.240313	0.599964
213	2.14952	2.2382	0.243066	0.596421
214	2.1554	2.24456	0.245794	0.601216
215	2.1613	2.24894	0.244191	0.605044
216	2.16054	2.24728	0.244894	0.606796
217	2.1637	2.25008	0.244161	0.606665
218	2.16765	2.24935	0.237491	0.606223
219	2.16744	2.24916	0.237581	0.6064
220	2.16767	2.25053	0.237588	0.605173
221	2.1728	2.25972	0.24667	0.608708
222	2.18144	2.2661	0.246256	0.620127
223	2.18744	2.26948	0.242814	0.623266
224	2.19123	2.27345	0.243496	0.623628
225	2.19755	2.27936	0.245795	0.62902
226	2.20281	2.28389	0.246157	0.631685
227	2.20529	2.28284	0.242776	0.631644
228	2.21177	2.28805	0.243516	0.637033
229	2.21103	2.2926	0.242455	0.629985
230	2.21438	2.2968	0.244124	0.630221
231	2.21803	2.3034	0.248852	0.630611
232	2.21992	2.3047	0.248343	0.630342
233	2.21812	2.29899	0.251946	0.635356
234	2.21998	2.30424	0.253881	0.632407
235	2.22093	2.30452	0.253369	0.632275
236	2.2239	2.30567	0.2514	0.632515
237	2.22616	2.31031	0.253187	0.63131
238	2.229	2.31081	0.250831	0.631457
239	2.23082	2.31034	0.249138	0.631441
240	2.22979	2.30923	0.249666	0.632476
241	2.23541	2.3147	0.252067	0.637825
242	2.23979	2.3208	0.255962	0.640617
243	2.24201	2.32046	0.253698	0.640579
244	2.24668	2.32635	0.257223	0.644125
245	2.24748	2.32793	0.257211	0.643266
246	2.24962	2.32595	0.253791	0.642736
247	2.25416	2.32809	0.251217	0.644552
248	2.25795	2.3317	0.251867	0.646341
249	2.2576	2.33237	0.251869	0.64581
250	2.26048	2.33652	0.253516	0.646421
251	2.26951	2.34745	0.270115	0.669134
252	2.27379	2.35627	0.277452	0.670118
253	2.27313	2.35667	0.277669	0.669638
254	2.27523	2.36125	0.278911	0.667518
255	2.27843	2.3674	0.281964	0.667017
256	2.28031	2.3712	0.282685	0.665508
257	2.28038	2.37543	0.282753	0.661228
258	2.28457	2.37472	0.27587	0.660608
259	2.28563	2.37829	0.276554	0.658915
260	2.29051	2.38584	0.283062	0.664636
261	2.29767	2.39225	0.286284	0.674644
262	2.29806	2.39378	0.286279	0.673522
263	2.30189	2.39887	0.288532	0.675251
264	2.30254	2.40139	0.288731	0.673581
265	2.29815	2.40075	0.2874	0.675015
266	2.29997	2.40199	0.286826	0.674737
267	2.30207	2.40554	0.287814	0.673951
268	2.31206	2.40924	0.278762	0.683806
269	2.31636	2.41082	0.276624	0.684847
270	2.32022	2.41238	0.275124	0.685682
271	2.32205	2.41789	0.27776	0.683775
272	2.3231	2.42554	0.280233	0.679046
273	2.32188	2.422	0.281602	0.681802
274	2.32407	2.42369	0.28161	0.68187
275	2.32602	2.4261	0.282224	0.681732
276	2.32973	2.42618	0.279036	0.681794
277	2.32875	2.4273	0.278555	0.680716
278	2.33154	2.42889	0.278363	0.681308
279	2.33634	2.43572	0.28527	0.687433
280	2.33967	2.43401	0.28047	0.68617
281	2.33977	2.43635	0.280542	0.68477
282	2.34242	2.43913	0.281582	0.68565
283	2.34333	2.43521	0.280031	0.685084
284	2.34573	2.431	0.274894	0.681894
285	2.34626	2.4259	0.273803	0.680566
286	2.34758	2.42595	0.273273	0.680575
287	2.34975	2.42735	0.273109	0.681183
288	2.34751	2.42446	0.27473	0.68367
289	2.35201	2.42737	0.274644	0.686977
290	2.3598	2.43095	0.272018	0.695159
291	2.36388	2.43196	0.269691	0.696195
292	2.36045	2.42827	0.272238	0.701132
293	2.35788	2.42759	0.272012	0.702065
294	2.3596	2.43104	0.273248	0.70166
295	2.35845	2.43226	0.27267	0.700425
296	2.35731	2.43209	0.272629	0.700582
297	2.35242	2.4314	0.269383	0.702134
298	2.3583	2.4318	0.263475	0.702729
299	2.36086	2.43593	0.266114	0.703307
300	2.36214	2.43782	0.266701	0.702936
301	2.36849	2.44198	0.268989	0.709349
302	2.37233	2.446	0.271747	0.711769
303	2.37517	2.45327	0.277512	0.712812
304	2.37658	2.45338	0.27709	0.712804
305	2.38135	2.45576	0.276645	0.715282
306	2.38228	2.45878	0.277433	0.714207
307	2.38692	2.46209	0.278801	0.717488
308	2.38895	2.45973	0.276158	0.716606
