t	w1	w2	theta1	theta2
632	2.85264	2.70701	0.31139	1.0373
633	2.85313	2.70821	0.31166	1.03698
634	2.85587	2.71195	0.31541	1.03943
635	2.85763	2.7118	0.315266	1.0394
636	2.8608	2.71222	0.315361	1.03973
637	2.86437	2.71572	0.319624	1.04335
638	2.86434	2.7099	0.319698	1.04496
639	2.86495	2.71108	0.319925	1.04473
640	2.86431	2.71173	0.319742	1.0443
641	2.86235	2.70509	0.324229	1.05073
642	2.8637	2.70837	0.325521	1.05062
643	2.86259	2.70757	0.32592	1.05139
644	2.85951	2.70897	0.323948	1.04896
645	2.86085	2.71049	0.324428	1.04885
646	2.86174	2.71121	0.324517	1.04869
647	2.86371	2.71546	0.327238	1.04986
648	2.86403	2.71708	0.327399	1.0492
649	2.86864	2.71743	0.326197	1.04963
650	2.86974	2.71683	0.325785	1.04966
651	2.86759	2.71402	0.327744	1.05308
652	2.866	2.71678	0.326084	1.04999
653	2.87016	2.71749	0.325763	1.05076
654	2.87132	2.71268	0.323479	1.05044
655	2.87198	2.71438	0.323815	1.05014
656	2.87154	2.7142	0.323856	1.05024
657	2.87087	2.71827	0.322838	1.04772
658	2.87269	2.72013	0.323902	1.04831
659	2.87366	2.72454	0.325486	1.04869
660	2.8768	2.72461	0.325015	1.04875
661	2.87381	2.72427	0.324428	1.04925
662	2.87689	2.72407	0.323701	1.04909
663	2.87991	2.72632	0.32587	1.05103
664	2.88102	2.72808	0.326574	1.05125
665	2.88424	2.72816	0.326137	1.05133
666	2.88894	2.73153	0.33123	1.05684
667	2.89067	2.73605	0.334033	1.05906
668	2.8946	2.73602	0.333002	1.05903
669	2.895	2.73769	0.333246	1.0589
670	2.89629	2.73907	0.333846	1.05927
671	2.89537	2.73792	0.334153	1.05994
672	2.89611	2.73689	0.333832	1.05992
673	2.89703	2.7391	0.334549	1.06023
674	2.89612	2.7358	0.335603	1.06209
675	2.89733	2.74049	0.337628	1.06354
676	2.90002	2.74083	0.337431	1.06379
677	2.90252	2.74458	0.340622	1.06682
678	2.90128	2.7492	0.338368	1.06394
679	2.90215	2.75043	0.338795	1.06407
680	2.90405	2.74879	0.337526	1.06328
681	2.90427	2.75053	0.337685	1.06315
682	2.90243	2.74888	0.338366	1.06461
683	2.9018	2.74734	0.33866	1.06536
684	2.90307	2.74746	0.338663	1.06539
685	2.90198	2.75053	0.337251	1.06357
686	2.90481	2.75149	0.338149	1.06442
687	2.90512	2.74853	0.337827	1.06467
688	2.90618	2.75286	0.339603	1.06618
689	2.90377	2.74804	0.343265	1.07141
690	2.90324	2.74608	0.343661	1.07251
691	2.90326	2.74648	0.343663	1.07236
692	2.90208	2.74947	0.342292	1.07006
693	2.90112	2.75364	0.340682	1.06755
694	2.90374	2.75443	0.341317	1.06811
695	2.90925	2.75409	0.339516	1.06748
696	2.90821	2.7494	0.341157	1.07008
697	2.90838	2.74716	0.341015	1.07054
698	2.90708	2.74635	0.341316	1.07116
699	2.90378	2.74726	0.339416	1.06976
700	2.90603	2.75056	0.342038	1.07187
701	2.90612	2.74834	0.34196	1.07254
702	2.90652	2.74536	0.341488	1.07311
703	2.90774	2.74081	0.339208	1.07244
704	2.90765	2.74022	0.339235	1.07265
705	2.9102	2.74376	0.342118	1.07534
706	2.90899	2.74126	0.34328	1.07733
707	2.9096	2.74473	0.343966	1.07706
708	2.91108	2.7436	0.342996	1.07686
709	2.9168	2.74427	0.342174	1.07813
710	2.91501	2.74549	0.341316	1.07697
711	2.91552	2.74723	0.341601	1.07685
712	2.91448	2.74658	0.341837	1.0773
713	2.91732	2.7459	0.340412	1.07677
714	2.91933	2.75088	0.343984	1.0803
715	2.91998	2.75632	0.345308	1.08125
716	2.92378	2.75976	0.349737	1.08577
717	2.92212	2.75977	0.349615	1.08576
718	2.91945	2.76297	0.345931	1.08163
719	2.9197	2.76024	0.345684	1.08226
720	2.91443	2.76243	0.338749	1.07729
721	2.91625	2.76566	0.341279	1.07895
722	2.91824	2.76876	0.34392	1.08074
723	2.91459	2.76964	0.340846	1.07926
724	2.91153	2.76571	0.343695	1.08515
725	2.91503	2.76072	0.336917	1.08093
726	2.91479	2.76051	0.336872	1.08103
727	2.91817	2.75909	0.335185	1.07974
728	2.92259	2.75359	0.325806	1.0719
729	2.92202	2.75078	0.326203	1.07274
730	2.91867	2.75038	0.324848	1.07328
731	2.91804	2.74648	0.325555	1.07481
732	2.92053	2.74209	0.321585	1.07144
733	2.91576	2.74427	0.314556	1.06735
734	2.91379	2.74153	0.315432	1.06965
735	2.91529	2.73929	0.314572	1.06876
736	2.9176	2.73889	0.314724	1.06846
737	2.91688	2.73492	0.315522	1.06979
738	2.91846	2.74089	0.319501	1.07402
739	2.91759	2.73954	0.319648	1.07473
740	2.91605	2.73703	0.320527	1.07672
741	2.91422	2.73493	0.321343	1.07877
742	2.91686	2.73499	0.321406	1.07881
743	2.91832	2.73238	0.320029	1.07814
744	2.92222	2.73703	0.32695	1.08468
745	2.92238	2.73824	0.327032	1.08436
746	2.92496	2.73902	0.327624	1.08488
747	2.92181	2.74112	0.324117	1.08179
748	2.91801	2.73886	0.325465	1.08569
749	2.91895	2.73645	0.324663	1.08586
750	2.91977	2.73899	0.32551	1.08573
751	2.92009	2.74039	0.325717	1.08537
752	2.92298	2.7451	0.33103	1.08963
753	2.92565	2.74656	0.33242	1.09056
754	2.92799	2.74759	0.333254	1.0911
755	2.92711	2.74838	0.332862	1.09054
756	2.92623	2.75092	0.331859	1.08886
757	2.92626	2.75013	0.331855	1.08914
758	2.92659	2.74509	0.331255	1.09015
759	2.92681	2.74344	0.331135	1.09066
760	2.92611	2.74193	0.331459	1.09166
761	2.92773	2.74357	0.332387	1.09204
762	2.92479	2.74583	0.329091	1.08868
763	2.92529	2.74421	0.328837	1.089
764	2.92668	2.74405	0.328805	1.08898
765	2.92658	2.7474	0.328659	1.08794
766	2.92555	2.73963	0.331427	1.09243
767	2.92706	2.73987	0.331432	1.09246
768	2.93058	2.7366	0.326302	1.08941
769	2.93036	2.73616	0.326326	1.08959
770	2.93779	2.73719	0.327682	1.0923
771	2.94104	2.73171	0.320273	1.08656
772	2.94487	2.7335	0.322516	1.08913
773	2.93985	2.73136	0.324323	1.09336
774	2.94093	2.73404	0.325355	1.09396
775	2.94138	2.73471	0.325457	1.09392
776	2.94798	2.73461	0.323602	1.09368
777	2.95038	2.73385	0.322653	1.09308
778	2.95435	2.73521	0.324188	1.09512
779	2.95625	2.73463	0.323578	1.09473
780	2.95688	2.73132	0.322751	1.09396
781	2.95803	2.73421	0.323949	1.09545
782	2.95689	2.73543	0.323344	1.09492
783	2.95752	2.73279	0.322696	1.09432
784	2.95731	2.72887	0.323003	1.0945
785	2.95227	2.72612	0.326609	1.09972
786	2.95121	2.73005	0.325112	1.09773
787	2.95797	2.72939	0.321201	1.09608
788	2.95938	2.725	0.318669	1.09364
789	2.95985	2.72735	0.319063	1.09427
790	2.95701	2.72725	0.318685	1.09437
791	2.95653	2.73046	0.318084	1.09397
792	2.95598	2.72625	0.318923	1.09471
793	2.95773	2.72374	0.317015	1.09308
794	2.95284	2.72301	0.316681	1.09441
795	2.95572	2.72247	0.315577	1.09385
796	2.96016	2.72393	0.317232	1.09641
797	2.96321	2.72378	0.316491	1.09624
798	2.96321	2.72472	0.31649	1.0963
799	2.96391	2.72653	0.316942	1.09693
800	2.96509	2.7251	0.316208	1.09621
801	2.96554	2.73161	0.317336	1.09953
802	2.96277	2.72804	0.320399	1.10313
803	2.96282	2.72793	0.320394	1.10314
804	2.96718	2.72691	0.317652	1.10151
805	2.96724	2.72802	0.317676	1.10156
806	2.96359	2.73045	0.313394	1.09827
807	2.96903	2.72921	0.310347	1.09562
808	2.96906	2.73227	0.31039	1.09634
809	2.96762	2.7344	0.308792	1.09554
810	2.9692	2.73509	0.309522	1.09606
811	2.96952	2.73434	0.309508	1.09586
812	2.96661	2.73409	0.308494	1.0961
813	2.96581	2.73783	0.307065	1.09571
814	2.96314	2.73557	0.307915	1.09778
815	2.96496	2.73562	0.308364	1.09782
816	2.96498	2.73398	0.308358	1.09774
817	2.96837	2.73039	0.304045	1.09281
818	2.9624	2.72992	0.300542	1.09379
819	2.9614	2.72695	0.301235	1.09462
820	2.9572	2.72519	0.301366	1.09732
821	2.95951	2.72086	0.297929	1.09357
822	2.96096	2.71325	0.294035	1.08759
823	2.96248	2.71616	0.296032	1.09
824	2.96047	2.71369	0.297131	1.09144
825	2.96228	2.71374	0.297358	1.09148
826	2.96046	2.71285	0.297407	1.09198
827	2.95673	2.7128	0.295782	1.09205
828	2.95362	2.70905	0.298775	1.09614
829	2.95521	2.70912	0.298856	1.09617
830	2.95398	2.70678	0.299713	1.09739
831	2.94916	2.71093	0.290062	1.08953
832	2.94621	2.70777	0.291961	1.09304
833	2.9497	2.70812	0.292688	1.09346
834	2.95045	2.70287	0.291323	1.09194
835	2.95234	2.70144	0.290406	1.09097
836	2.95117	2.69499	0.292972	1.09276
837	2.94853	2.69843	0.288969	1.08917
838	2.94947	2.6991	0.289308	1.08939
839	2.95338	2.70027	0.290986	1.09115
840	2.95211	2.6961	0.292713	1.09283
841	2.95277	2.69505	0.292447	1.09261
842	2.95598	2.69117	0.287188	1.08772
843	2.95615	2.69056	0.287158	1.08761
844	2.95275	2.69027	0.286468	1.08795
845	2.95693	2.68619	0.27932	1.08086
846	2.95865	2.68714	0.280031	1.08173
847	2.96049	2.68398	0.27787	1.07848
848	2.95799	2.68312	0.277914	1.07898
849	2.96143	2.68065	0.274452	1.07484
850	2.95789	2.68087	0.272711	1.07465
851	2.95534	2.67946	0.273102	1.07541
852	2.95735	2.68305	0.276027	1.07956
853	2.95807	2.68544	0.276772	1.08094
854	2.95727	2.68682	0.276159	1.0809
855	2.95677	2.67975	0.277363	1.07864
856	2.96243	2.68173	0.280977	1.08365
857	2.96504	2.6848	0.283844	1.08774
858	2.96589	2.68385	0.283503	1.08718
859	2.96562	2.68546	0.283333	1.08745
860	2.96479	2.68853	0.282288	1.08734
861	2.96259	2.68688	0.283106	1.08827
862	2.96824	2.68266	0.272883	1.0779
863	2.96322	2.68662	0.262486	1.07238
864	2.96115	2.68368	0.263514	1.07298
865	2.95954	2.68058	0.264562	1.07317
866	2.95617	2.67587	0.268501	1.07639
867	2.95463	2.67324	0.269551	1.07687
868	2.95399	2.67577	0.268807	1.07703
869	2.95279	2.67589	0.268411	1.07701
870	2.95199	2.67591	0.268189	1.07701
871	2.953	2.67544	0.26817	1.0767
872	2.95705	2.6725	0.263592	1.07111
873	2.95232	2.67466	0.256778	1.06821
874	2.94794	2.67413	0.254219	1.06885
875	2.94879	2.67211	0.25393	1.06737
876	2.94617	2.67216	0.252158	1.06734
877	2.94553	2.66995	0.252344	1.06695
878	2.94371	2.66899	0.251912	1.06724
879	2.94781	2.67042	0.255217	1.06998
880	2.94371	2.66592	0.259084	1.07475
881	2.94239	2.66492	0.259096	1.07504
882	2.94013	2.65938	0.262818	1.07774
883	2.94116	2.65773	0.262214	1.0769
884	2.94286	2.65757	0.262087	1.07678
885	2.93894	2.658	0.259836	1.0762
886	2.93971	2.65858	0.260086	1.07642
887	2.9427	2.66016	0.261849	1.07838
888	2.93739	2.65997	0.259069	1.07874
889	2.93728	2.65395	0.259305	1.07749
890	2.93679	2.65224	0.259551	1.07765
891	2.94255	2.65254	0.259015	1.07834
892	2.94057	2.6513	0.259495	1.0791
893	2.93845	2.65322	0.257503	1.07764
894	2.9403	2.65354	0.25775	1.07789
895	2.93711	2.6513	0.259221	1.08027
896	2.93664	2.65571	0.258392	1.07941
897	2.93731	2.65555	0.258422	1.07937
898	2.93954	2.65859	0.261059	1.08196
899	2.94152	2.65526	0.25856	1.07918
900	2.94495	2.65407	0.25675	1.0775
901	2.94534	2.65111	0.256351	1.07632
902	2.94381	2.64976	0.256807	1.0768
903	2.94532	2.64988	0.256843	1.07689
904	2.94372	2.6455	0.25918	1.07805
905	2.94744	2.64775	0.261508	1.08153
906	2.94535	2.64488	0.263559	1.08318
907	2.94609	2.64537	0.263557	1.08334
908	2.94482	2.64583	0.263385	1.08314
909	2.94512	2.64751	0.263533	1.08338
910	2.94179	2.64215	0.269646	1.08865
911	2.94401	2.64668	0.272583	1.09204
912	2.9438	2.64679	0.272631	1.09202
913	2.94209	2.64379	0.274834	1.09409
914	2.94623	2.64651	0.276741	1.09783
915	2.94763	2.65263	0.279412	1.10006
916	2.94948	2.65526	0.28044	1.10123
917	2.94831	2.65174	0.282279	1.10326
918	2.9466	2.65291	0.282019	1.10213
919	2.94477	2.65153	0.283439	1.10346
920	2.94527	2.65562	0.283988	1.10275
921	2.94407	2.65793	0.283295	1.10087
922	2.94062	2.65261	0.290338	1.10841
923	2.9396	2.65108	0.291408	1.10974
924	2.94083	2.65324	0.291604	1.1095
925	2.94305	2.65612	0.292519	1.11036
926	2.94721	2.66065	0.296743	1.11541
927	2.94402	2.66238	0.295687	1.11232
928	2.94708	2.66089	0.291824	1.11136
929	2.94423	2.66278	0.290486	1.10835
930	2.94145	2.66401	0.289716	1.10646
931	2.94608	2.67105	0.299946	1.11697
932	2.94854	2.66894	0.296433	1.11621
933	2.95213	2.66782	0.292602	1.11528
934	2.95058	2.66674	0.293666	1.11642
935	2.95382	2.6689	0.294451	1.11795
936	2.95539	2.67557	0.297742	1.11935
937	2.96004	2.68117	0.305371	1.12725
938	2.9593	2.67975	0.306071	1.12849
939	2.96129	2.68361	0.307867	1.1291
940	2.96606	2.68317	0.303762	1.12856
941	2.96729	2.68304	0.30311	1.12857
942	2.97348	2.68802	0.311802	1.13876
943	2.97549	2.68995	0.312072	1.13905
944	2.97417	2.69302	0.31106	1.13566
945	2.97269	2.69182	0.312229	1.13701
946	2.97519	2.69939	0.318355	1.14185
947	2.97692	2.7014	0.318739	1.14187
948	2.97448	2.69989	0.32087	1.14425
949	2.97413	2.6969	0.321448	1.14674
950	2.97527	2.70023	0.322206	1.14572
951	2.97781	2.7025	0.322799	1.14631
952	2.98049	2.7039	0.322553	1.14677
953	2.97868	2.70744	0.320803	1.14202
954	2.98199	2.70571	0.316735	1.14087
955	2.98372	2.71021	0.319046	1.14192
956	2.98588	2.71379	0.321168	1.14328
957	2.9859	2.71076	0.321142	1.14483
958	2.98724	2.71559	0.323107	1.14525
959	2.98796	2.71218	0.321881	1.14611
960	2.98919	2.7145	0.32247	1.146
961	2.99328	2.71601	0.322909	1.14765
962	2.99752	2.71739	0.323209	1.14929
963	2.99998	2.71575	0.320554	1.14851
964	3.00434	2.71527	0.317766	1.14789
965	3.00151	2.71324	0.320287	1.15078
966	3.00213	2.71077	0.319455	1.15127
967	3.00689	2.71296	0.321259	1.15453
968	3.00466	2.71129	0.32328	1.15669
969	3.00368	2.70682	0.325357	1.16041
970	3.00642	2.7105	0.327595	1.1625
971	3.01135	2.71432	0.332007	1.16821
972	3.01342	2.72095	0.336206	1.17137
973	3.01793	2.72243	0.335853	1.17309
974	3.02204	2.71964	0.328607	1.17038
975	3.02436	2.72069	0.328355	1.17082
976	3.02569	2.7228	0.328825	1.17099
977	3.02631	2.72381	0.328798	1.17077
978	3.02264	2.72542	0.327304	1.16778
979	3.02203	2.72881	0.326685	1.16573
980	3.02359	2.73016	0.327012	1.16603
981	3.02473	2.7337	0.328291	1.16663
982	3.0264	2.73275	0.327179	1.16639
983	3.03027	2.73305	0.326462	1.16675
984	3.03166	2.7354	0.327412	1.16748
985	3.03192	2.73647	0.327468	1.16729
986	3.03205	2.73475	0.327354	1.16773
987	3.03178	2.73338	0.32755	1.1683
988	3.03212	2.73313	0.327432	1.16835
989	3.03522	2.73266	0.325902	1.16793
990	3.03352	2.73117	0.327139	1.16932
991	3.03878	2.73093	0.324925	1.1689
992	3.03703	2.72959	0.326119	1.17013
993	3.04088	2.72861	0.323281	1.16891
994	3.04003	2.73341	0.321836	1.16724
995	3.04093	2.72838	0.319913	1.16617
996	3.0419	2.73234	0.321265	1.16775
997	3.04467	2.73494	0.323674	1.1705
998	3.04622	2.73207	0.321611	1.16924
999	3.04769	2.73785	0.324811	1.17375
1000	3.04926	2.73837	0.324877	1.17399
1001	3.04944	2.73863	0.324872	1.17397
1002	3.05171	2.73823	0.324129	1.17367
1003	3.05662	2.73988	0.326854	1.17691
1004	3.05736	2.73976	0.326694	1.17689
1005	3.055	2.73929	0.327281	1.17737
1006	3.06076	2.74064	0.329671	1.18046
1007	3.06318	2.74373	0.332207	1.18362
1008	3.06179	2.74693	0.330655	1.18183
1009	3.06601	2.74552	0.327647	1.17962
1010	3.0629	2.74676	0.326066	1.17814
1011	3.06485	2.74643	0.325696	1.17789
1012	3.0663	2.74889	0.327081	1.17964
1013	3.06412	2.74775	0.327955	1.18063
1014	3.06904	2.75072	0.334024	1.18707
1015	3.06694	2.74847	0.336022	1.1892
1016	3.06779	2.74849	0.335839	1.1892
1017	3.06952	2.74834	0.335344	1.18912
1018	3.07097	2.74659	0.334003	1.18838
1019	3.06902	2.74685	0.334082	1.18816
1020	3.06947	2.74688	0.333996	1.18816
1021	3.07422	2.74753	0.334456	1.18938
1022	3.07315	2.75322	0.332162	1.1884
1023	3.07359	2.75399	0.332269	1.18852
1024	3.07675	2.75291	0.330688	1.18721
1025	3.08152	2.74751	0.320101	1.17695
1026	3.07661	2.74545	0.322682	1.18032
1027	3.07293	2.74115	0.328309	1.18581
1028	3.07333	2.7418	0.328341	1.18592
1029	3.07427	2.74407	0.329041	1.18696
1030	3.07586	2.74064	0.326604	1.18494
1031	3.07897	2.73899	0.324003	1.18284
1032	3.07275	2.74535	0.30771	1.16988
1033	3.06979	2.74403	0.308043	1.17104
1034	3.07215	2.74335	0.307998	1.17025
1035	3.07504	2.74506	0.310772	1.17288
1036	3.07433	2.74419	0.310836	1.17289
1037	3.07525	2.74191	0.31019	1.17151
1038	3.07129	2.74298	0.307188	1.1702
1039	3.0703	2.74355	0.306664	1.17014
1040	3.06552	2.73503	0.319808	1.18228
1041	3.0652	2.7345	0.319902	1.18238
1042	3.06658	2.7318	0.318241	1.18116
1043	3.06923	2.72888	0.314747	1.17823
1044	3.0697	2.72746	0.314433	1.17789
1045	3.06788	2.7309	0.312046	1.17606
1046	3.06778	2.73431	0.311906	1.17667
1047	3.071	2.72997	0.306363	1.17082
1048	3.07367	2.72689	0.303228	1.16686
1049	3.07531	2.72646	0.303069	1.16642
1050	3.0758	2.72078	0.302011	1.16277
1051	3.07715	2.72171	0.302525	1.16374
1052	3.07104	2.72103	0.30222	1.16503
1053	3.06689	2.72117	0.301174	1.16485
1054	3.0687	2.71684	0.298121	1.16042
1055	3.07099	2.71388	0.295453	1.15654
1056	3.07068	2.71148	0.295729	1.15558
1057	3.0685	2.71391	0.29347	1.15491
1058	3.06584	2.71421	0.292654	1.15475
1059	3.06063	2.71268	0.293814	1.15711
1060	3.05774	2.70882	0.297541	1.15994
1061	3.05812	2.70587	0.297075	1.15874
1062	3.05861	2.70729	0.297296	1.15943
1063	3.05941	2.70851	0.297606	1.16017
1064	3.05959	2.71226	0.297868	1.16184
1065	3.0635	2.70933	0.293047	1.15661
1066	3.06139	2.71132	0.291175	1.15583
1067	3.0604	2.7134	0.290225	1.1559
1068	3.0571	2.71337	0.289289	1.15593
1069	3.04952	2.71278	0.286242	1.15746
1070	3.04892	2.71358	0.285895	1.15741
1071	3.04996	2.71401	0.286316	1.15766
1072	3.04824	2.71399	0.285769	1.15767
1073	3.04559	2.71349	0.285259	1.15811
1074	3.04771	2.71484	0.286893	1.15941
1075	3.04913	2.71836	0.289233	1.16214
1076	3.05075	2.71156	0.285311	1.15663
1077	3.04867	2.71068	0.285347	1.15717
1078	3.04846	2.71503	0.284934	1.15806
1079	3.04659	2.71294	0.285737	1.15928
1080	3.04342	2.7135	0.283781	1.15864
1081	3.0475	2.71541	0.287986	1.16196
1082	3.04809	2.70984	0.286849	1.16001
1083	3.04714	2.70445	0.28861	1.16102
1084	3.04788	2.70497	0.288794	1.1612
1085	3.04733	2.70596	0.288534	1.16106
1086	3.04614	2.7065	0.288122	1.16084
1087	3.04962	2.70519	0.286458	1.15899
1088	3.04716	2.70725	0.283944	1.15734
1089	3.04604	2.70494	0.28467	1.15802
1090	3.04432	2.70875	0.281716	1.15613
1091	3.03772	2.71323	0.266065	1.14557
1092	3.03665	2.71215	0.265756	1.14578
1093	3.03451	2.70716	0.268232	1.14853
1094	3.03191	2.70845	0.265233	1.14738
1095	3.03355	2.709	0.266524	1.14779
1096	3.03172	2.70485	0.268192	1.15004
1097	3.03111	2.70207	0.268526	1.15054
1098	3.0259	2.70006	0.268538	1.1545
1099	3.0263	2.6958	0.268039	1.15419
1100	3.02344	2.6851	0.278124	1.1624
1101	3.02285	2.6869	0.277686	1.16138
1102	3.02125	2.68513	0.278573	1.16303
1103	3.02415	2.6912	0.285466	1.16886
1104	3.02204	2.69079	0.285668	1.16939
1105	3.02458	2.69148	0.286024	1.16973
1106	3.0218	2.69332	0.283795	1.1669
1107	3.02376	2.69205	0.282739	1.16651
1108	3.02229	2.69349	0.281775	1.16509
1109	3.02695	2.69353	0.281681	1.16515
1110	3.03015	2.69157	0.279116	1.16335
1111	3.02363	2.68982	0.280133	1.16811
1112	3.01366	2.67915	0.311415	1.20782
1113	3.01805	2.67917	0.307689	1.20783
1114	3.02307	2.68007	0.305566	1.20842
1115	3.02835	2.68296	0.307955	1.21099
1116	3.03272	2.68324	0.305255	1.21113
1117	3.03474	2.68719	0.30715	1.20995
1118	3.03916	2.68921	0.307921	1.21131
1119	3.03799	2.69433	0.306142	1.20402
1120	3.04132	2.69464	0.304867	1.20413
1121	3.04144	2.68962	0.304594	1.20793
1122	3.04105	2.6912	0.304533	1.20617
1123	3.04318	2.69243	0.304489	1.20606
1124	3.04162	2.69136	0.305707	1.20767
1125	3.04084	2.69024	0.306388	1.20908
1126	3.04386	2.69018	0.304577	1.20907
1127	3.04537	2.69363	0.305881	1.20807
1128	3.04775	2.69292	0.304006	1.20806
1129	3.04428	2.69533	0.301679	1.20275
1130	3.0458	2.69659	0.301864	1.20249
1131	3.04345	2.69635	0.302591	1.2029
1132	3.04645	2.69906	0.30468	1.20403
1133	3.04877	2.70041	0.305015	1.2042
1134	3.04949	2.7039	0.305766	1.20274
1135	3.05071	2.70299	0.304932	1.20298
1136	3.05153	2.70768	0.306226	1.20179
1137	3.05731	2.70859	0.306863	1.20331
1138	3.05647	2.71057	0.306391	1.20147
1139	3.05986	2.71322	0.309225	1.2037
1140	3.05988	2.71421	0.309229	1.20314
1141	3.05925	2.71685	0.308683	1.20109
1142	3.05502	2.71819	0.306351	1.19817
1143	3.05468	2.71613	0.306653	1.19961
1144	3.05385	2.71343	0.307602	1.20207
1145	3.05754	2.71683	0.311941	1.20532
1146	3.05943	2.71634	0.311088	1.20528
1147	3.06153	2.71661	0.31079	1.20534
1148	3.06339	2.72214	0.314595	1.20762
1149	3.06335	2.72006	0.314633	1.20894
1150	3.06753	2.71643	0.307429	1.20527
1151	3.07177	2.71748	0.308567	1.20658
1152	3.07469	2.71716	0.307646	1.20635
1153	3.07503	2.71849	0.307774	1.20602
1154	3.07732	2.72205	0.310789	1.2084
1155	3.0809	2.71884	0.305613	1.20519
1156	3.08493	2.72055	0.30815	1.20761
1157	3.08451	2.71904	0.308445	1.20829
1158	3.08683	2.71906	0.308101	1.2083
1159	3.08837	2.71883	0.307731	1.20822
1160	3.0901	2.72236	0.309999	1.21039
1161	3.09374	2.72265	0.310025	1.21076
1162	3.09455	2.72361	0.310235	1.21091
1163	3.09563	2.72582	0.311081	1.21164
1164	3.09327	2.72675	0.310291	1.21062
1165	3.09206	2.72584	0.310766	1.21124
1166	3.0928	2.7226	0.309746	1.21107
1167	3.09399	2.72462	0.310578	1.21174
1168	3.09355	2.72474	0.310597	1.21169
1169	3.08663	2.72847	0.299221	1.20109
1170	3.08469	2.72558	0.300936	1.20363
1171	3.08559	2.72544	0.300978	1.20361
1172	3.08884	2.72464	0.300262	1.20272
1173	3.09009	2.72191	0.299024	1.20171
1174	3.08906	2.72076	0.299374	1.20227
1175	3.09144	2.7194	0.298187	1.20113
1176	3.09333	2.72142	0.299852	1.20273
1177	3.09438	2.71948	0.299097	1.20203
1178	3.09681	2.71612	0.295901	1.19885
1179	3.09935	2.71764	0.297627	1.20063
1180	3.10267	2.71621	0.295864	1.19861
1181	3.10067	2.7144	0.297083	1.19971
1182	3.10003	2.7121	0.297653	1.2
1183	3.0945	2.71018	0.30081	1.20391
1184	3.09186	2.71184	0.299251	1.20214
1185	3.08848	2.70967	0.301979	1.20513
1186	3.08897	2.71399	0.302752	1.20592
1187	3.08724	2.71483	0.302289	1.2052
1188	3.08926	2.71481	0.302063	1.20519
1189	3.0883	2.71586	0.301722	1.20464
1190	3.0942	2.71516	0.300045	1.20306
1191	3.09262	2.71971	0.297159	1.20074
1192	3.09241	2.71741	0.297329	1.20099
1193	3.09428	2.71933	0.298875	1.20252
1194	3.09636	2.71859	0.298335	1.20193
1195	3.0946	2.71895	0.297932	1.20169
1196	3.09461	2.71538	0.297924	1.20168
1197	3.09544	2.71321	0.297205	1.201
1198	3.0956	2.71016	0.297015	1.20074
1199	3.0988	2.70681	0.292478	1.19638
1200	3.10062	2.70298	0.28964	1.19294
1201	3.10031	2.70228	0.289733	1.19284
1202	3.10145	2.70177	0.289436	1.19248
1203	3.0973	2.703	0.287073	1.19083
1204	3.0965	2.70511	0.286369	1.19078
1205	3.09531	2.69891	0.289106	1.19148
1206	3.09557	2.69633	0.288824	1.19067
1207	3.09823	2.69511	0.287163	1.1891
1208	3.0984	2.69894	0.287412	1.19092
1209	3.09569	2.69685	0.289534	1.19257
1210	3.09501	2.70029	0.288674	1.19258
1211	3.09447	2.69921	0.288926	1.19262
1212	3.10081	2.69999	0.291176	1.19482
1213	3.09648	2.70163	0.288253	1.19243
1214	3.09527	2.70034	0.288855	1.19278
1215	3.09522	2.70031	0.288858	1.19278
1216	3.0954	2.69822	0.2887	1.19226
1217	3.09601	2.70276	0.289767	1.19494
1218	3.09744	2.70229	0.289428	1.1946
1219	3.09502	2.70267	0.288991	1.1943
1220	3.09661	2.69825	0.286152	1.19073
1221	3.09882	2.69823	0.286029	1.19071
1222	3.09288	2.69692	0.287745	1.19337
1223	3.09428	2.69348	0.285692	1.19095
1224	3.09356	2.69063	0.286553	1.19113
1225	3.09036	2.68938	0.288277	1.19246
1226	3.09533	2.68719	0.282865	1.18789
1227	3.10007	2.68769	0.283263	1.18898
1228	3.09793	2.68983	0.281649	1.18792
1229	3.1006	2.69227	0.28409	1.19148
1230	3.10067	2.69457	0.284145	1.1923
1231	3.10076	2.69507	0.284158	1.19246
1232	3.10132	2.69653	0.284458	1.19322
1233	3.10357	2.69544	0.283376	1.19196
1234	3.10156	2.69313	0.285142	1.193
1235	3.09786	2.68595	0.295221	1.1999
1236	3.10111	2.68726	0.295612	1.20175
1237	3.09703	2.692	0.289123	1.19502
1238	3.0954	2.6977	0.285641	1.19326
1239	3.09258	2.69456	0.288919	1.19609
1240	3.09128	2.69686	0.287877	1.19514
1241	3.08557	2.69271	0.295997	1.20374
1242	3.084	2.69522	0.294861	1.20179
1243	3.08434	2.69408	0.294625	1.20185
1244	3.08466	2.69482	0.294634	1.20182
1245	3.08839	2.69645	0.296158	1.20406
1246	3.09331	2.69691	0.295923	1.2049
1247	3.08892	2.70255	0.286614	1.19547
1248	3.0912	2.7068	0.290661	1.20021
1249	3.09269	2.70886	0.291913	1.20149
1250	3.09512	2.70923	0.292304	1.20184
1251	3.0956	2.70979	0.29242	1.20195
1252	3.09744	2.70456	0.288634	1.1979
1253	3.10222	2.70424	0.288261	1.19724
1254	3.10042	2.70344	0.288724	1.19765
1255	3.09908	2.70308	0.28888	1.19778
