Mat1	Mat2	Mat3	Pat1	Pat2	Pat3	w0	theta0	d	q	p	w	R	theta	a	payoff	delta	elig	ztheta	gnum	inum	female	SubPop	Alive
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.41772	3.51334	0.881838	0.936294	2.91859	0.0996014	23.6684	23.6684	19	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.34262	3.27899	0.896633	0.856967	2.77956	-0.0662814	-15.0675	-15.0675	20	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.36649	3.31329	0.871946	0.815959	2.81237	-0.0554215	-21.4442	-21.4442	20	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.43715	3.41995	0.986765	0.922222	3.04082	-0.0179216	-25.4521	-25.4521	21	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.46947	3.4141	0.93997	0.92854	3.07544	-0.0576734	-4.37054	-4.37054	21	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.71762	2.77072	0.38494	0.465616	2.20654	0.0553198	33.7646	33.7646	22	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.73432	2.88274	0.948499	0.961245	2.35248	0.154608	5.81794	5.81794	22	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.11611	2.10823	0.472095	0.448727	1.98381	-0.00820141	-9.28626	-9.28626	23	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.05694	2.04711	0.515047	0.490317	1.90447	-0.0102316	-9.81145	-9.81145	23	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.82647	2.91535	0.297449	0.272808	2.37562	0.0925815	-10.6451	-10.6451	24	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.65831	2.6605	1.0243	1.06289	2.33051	0.00228346	15.4621	15.4621	24	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.64214	2.70455	0.407615	0.325957	2.14712	0.0650083	-34.4552	-34.4552	25	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.77253	2.67377	0.874989	0.905385	2.54708	-0.102869	11.2339	11.2339	25	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.85258	2.81519	0.442123	0.489548	2.43578	-0.0389398	18.397	18.397	26	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.87702	2.92444	1.03312	1.00013	2.61274	0.0493964	-13.7402	-13.7402	26	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.06976	2.08745	0.514515	0.520981	1.85381	0.0184311	2.6249	2.6249	27	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.14367	2.15616	0.456946	0.475117	1.94535	0.0130043	7.34456	7.34456	27	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.96871	2.02214	0.416542	0.365764	1.76995	0.055661	-21.2579	-21.2579	28	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.98527	1.91295	0.402596	0.443497	1.79953	-0.075333	15.4303	15.4303	28	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.53301	2.52916	0.917581	0.816602	2.23834	-0.00401686	-40.2622	-40.2622	29	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.65341	2.56952	0.242588	0.259411	2.18977	-0.0873936	6.28933	6.28933	29	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.75768	2.74825	0.947519	0.999476	2.46453	-0.00982393	20.6209	20.6209	30	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.72355	2.83235	0.378988	0.353056	2.31549	0.113335	-11.4069	-11.4069	30	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.26819	3.30813	0.885681	0.958715	2.67775	0.0416036	30.2193	30.2193	31	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.32663	3.43059	0.821303	0.821104	2.73532	0.108298	-0.0875281	-0.0875281	31	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.32844	3.42076	0.919671	0.913263	2.8402	0.0961678	-2.77708	-2.77708	32	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.3865	3.40476	0.860265	0.930616	2.87858	0.0190198	28.5751	28.5751	32	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.3514	3.35707	0.985604	1.04112	2.80192	0.00590611	22.3132	22.3132	33	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.45324	3.52894	0.878406	0.86034	2.87092	0.0788581	-7.71335	-7.71335	33	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.795	2.68817	1.00721	0.914826	2.44234	-0.111281	-33.9319	-33.9319	34	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.78793	2.71795	0.410966	0.333176	2.32977	-0.0729026	-29.4013	-29.4013	34	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.03097	2.05319	0.441656	0.495562	2.01413	0.0231488	21.9692	21.9692	35	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.04446	2.11655	0.448225	0.452582	1.94982	0.0750941	1.85432	1.85432	35	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.45659	3.46772	0.807421	0.837127	3.0267	0.0115952	11.9938	11.9938	36	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.27132	3.32947	1.00456	0.988576	2.8315	0.0605702	-6.71958	-6.71958	36	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.06635	2.20182	0.435313	0.402902	1.98353	0.141115	-14.6144	-14.6144	37	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.9994	1.97741	0.473811	0.554655	1.81637	-0.0229044	31.7555	31.7555	37	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.64113	2.66318	0.932328	0.89893	2.31609	0.0229708	-13.6093	-13.6093	38	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.69884	2.69525	0.317689	0.320579	2.25543	-0.00373507	1.15243	1.15243	38	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.0856	2.10081	0.415755	0.495316	1.90223	0.0158472	32.2332	32.2332	39	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.99631	2.11774	0.476659	0.483953	1.79982	0.126493	3.24574	3.24574	39	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.35051	3.37318	0.918753	0.86876	2.90045	0.023614	-20.3822	-20.3822	40	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.38756	3.34944	0.890402	0.895663	2.88631	-0.0397006	2.03961	2.03961	40	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.95712	2.03131	0.38645	0.399617	1.81945	0.0772814	5.61357	5.61357	41	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.95071	1.96687	0.396603	0.444926	1.83413	0.0168253	19.5929	19.5929	41	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.01538	1.8451	0.419295	0.34704	1.9373	-0.17737	-25.3105	-25.3105	42	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	1.97406	1.85756	0.435353	0.337758	1.87391	-0.12135	-35.5836	-35.5836	42	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.42423	3.43143	0.843871	0.900383	2.92272	0.00749673	22.7414	22.7414	43	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.32642	3.39257	0.963106	0.942556	2.80666	0.0689009	-8.69952	-8.69952	43	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.80906	2.80335	1.0635	1.00674	2.72029	-0.00594948	-22.5936	-22.5936	44	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.88936	2.83941	0.386517	0.393343	2.59929	-0.0520301	2.62133	2.62133	44	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.4176	3.44885	0.842086	0.849461	2.7772	0.0325501	3.02915	3.02915	45	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	3.31187	3.34068	0.957348	0.968471	2.67354	0.0300104	4.55862	4.55862	45	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.90672	2.85897	0.347539	0.390192	2.56006	-0.0497457	16.4082	16.4082	46	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.74725	2.80346	1.0775	1.02159	2.51902	0.0585527	-23.4618	-23.4618	46	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.04033	1.9611	0.500368	0.487228	1.82066	-0.0825209	-4.93025	-4.93025	47	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.10897	2.09656	0.463037	0.393175	1.93777	-0.0129312	-27.6585	-27.6585	47	2	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	0	0	2.76001	2.77868	0.330872	0.321403	2.32432	0.0194442	-3.84753	-3.84753	48	1	1	0	1
0.5	0.1	0	0.5	0.1	0	1	0.2	0	1	1	2.69388	2.69134	0.966617	0.959578	2.419	-0.00264192	-2.80976	-2.80976	48	2	1	0	1
