gen	av_qhat	av_theta	av_w	sd_qhat	sd_theta	sd_w
200	0.946583757708333	0.973265085	3.42162530875	0.123890018583442	0.100871472037976	0.132838287024897
250	0.921364332333333	0.960599437458333	3.38495737083333	0.136306332998169	0.110199709296685	0.145747640920293
300	0.8952370245	0.947784160416667	3.34795797125	0.147742502248576	0.119849263805301	0.155746599716126
350	0.864226187833333	0.931974578791667	3.30286440166667	0.156575431259565	0.126420892361315	0.16519516534477
400	0.837241046458333	0.918482052583333	3.26418712125	0.164669285938948	0.133412260567009	0.172764138556224
450	0.81196191625	0.906121922541667	3.22811691083333	0.170807634562182	0.13725284758739	0.180889689406567
500	0.784680122895833	0.892161467958333	3.18859329291667	0.174223068751644	0.140313628376063	0.183771318736862
550	0.7547627963625	0.877592380625	3.14641592583333	0.180455232161268	0.144513255937303	0.190579168187722
600	0.73151061112875	0.865929854	3.113515935	0.183352920953429	0.146647262203801	0.193806978709103
650	0.709145094541667	0.854751680833333	3.08197194458333	0.188064919841996	0.150331067084794	0.198474923176884
700	0.688816722366667	0.84419402475	3.05266403	0.189420698541375	0.15249848910845	0.198779740483452
750	0.680989173025	0.840540572458333	3.04205784208333	0.191094547093431	0.153597833493783	0.200797449401861
800	0.676186031324583	0.838064615916667	3.03524828791667	0.191448338326369	0.154088388236343	0.200532458407488
850	0.662147999135833	0.831344779875	3.01576013666667	0.192482309485818	0.154813112286985	0.202337082504657
900	0.653672651870417	0.82679624625	3.00353990333333	0.192435578644076	0.154812156936382	0.201342330839291
950	0.635913083691333	0.817711629333333	2.97797276333333	0.19256742633465	0.154736003159985	0.202891742708478
1000	0.632767680212917	0.816417150541667	2.97398508333333	0.191923739608298	0.153614861252211	0.202514378614229
1050	0.63282882232125	0.816266055875	2.973700105	0.19031897728262	0.153217381240495	0.199709892472962
1100	0.621991602348583	0.811057756291667	2.95915782	0.194077872556844	0.15646472431376	0.202439476551574
1150	0.6186617020975	0.8091441167375	2.95374725083333	0.192917757878235	0.154703859308311	0.203492958294127
1200	0.613497650088958	0.806723194666667	2.94655443166667	0.190642071291159	0.153391435458638	0.200170657605039
1250	0.611894483653292	0.805990482875	2.94439671708333	0.190653836564601	0.153509763051664	0.200154649668723
1300	0.604584066404029	0.802127365541667	2.93371240375	0.190096834224552	0.152195580401813	0.201713721901055
1350	0.606330888665417	0.803367135791667	2.93732131333333	0.194084297921186	0.155913309232691	0.20395787447963
1400	0.601993624435333	0.8011339357	2.9306428175	0.189697369014892	0.153408836851984	0.197492740947865
1450	0.6030922459075	0.801624542041667	2.931936495	0.188497892900041	0.151872625334912	0.198617887310043
1500	0.607758773794542	0.803719501791667	2.93841632833333	0.191101728242271	0.153895506146773	0.200981668216429
1550	0.607200116090833	0.803326410125	2.93766039125	0.19235489093054	0.15494013932983	0.202607133315408
1600	0.605516492507083	0.802615554541667	2.93555483375	0.192772078946555	0.155085792452108	0.202809194280714
1650	0.607954697919167	0.80377921075	2.93863547458333	0.192188251697379	0.153886338995079	0.202899827630107
1700	0.613742718904583	0.806886468833333	2.94752735666667	0.195412651789451	0.15661096145863	0.206289879976362
1750	0.609151704874167	0.804182849458333	2.94070123	0.193569470704124	0.156027130088016	0.20221066337606
1800	0.605958840829583	0.802788067625	2.93652575	0.195487119881166	0.157496044375227	0.204691642716662
1850	0.608294499445417	0.803702211833333	2.93967382958333	0.197286235812322	0.1588851377204	0.206942295229399
1900	0.609746923162792	0.805318549708333	2.9425363825	0.197990443059767	0.158724336554412	0.207548612408017
1950	0.604658486766667	0.802233671541667	2.93496901583333	0.196687037905312	0.158316775812326	0.206419702248541
2000	0.598286386865833	0.799220289458333	2.92572145208333	0.193590907262647	0.155670502873671	0.204344506576727
2050	0.5971845210975	0.798240126208333	2.92347888333333	0.192723275957278	0.154734113380654	0.203178824948244
2100	0.601016764800417	0.8004347257875	2.92949582	0.193188527180057	0.155488137527376	0.202412969291105
2150	0.603443654971048	0.801872158333333	2.93325945041667	0.194321325809907	0.1562471556326	0.204580474899158
2200	0.611241672159042	0.8053036255	2.94379117958333	0.194565448078184	0.156794282467612	0.20416561250586
2250	0.609835859296667	0.804904330125	2.94141280875	0.191146052443683	0.152730589693777	0.202763734421613
2300	0.614875577854125	0.807734744529167	2.94902267375	0.192142040125223	0.154360510425235	0.201851871366883
2350	0.626185803941667	0.813110648333333	2.96434849583333	0.190911219310482	0.153405689893476	0.200836740053048
2400	0.617794796699417	0.808643382166667	2.95284613791667	0.195974478531924	0.156552798779847	0.207971373282221
2450	0.619296042797042	0.809357110041667	2.95533220833333	0.19708783540382	0.158318242521787	0.207119668238751
2500	0.621795014277083	0.811250300875	2.95937987875	0.197727803323991	0.159218507532622	0.207800993853474
2550	0.620284273563333	0.810240969166667	2.95665395708333	0.193487826539254	0.155768222329104	0.203417406898734
2600	0.613094944978583	0.80660238975	2.94640164916667	0.194796986237817	0.156038066293317	0.206902438278094
2650	0.605937415739167	0.8032330045	2.93690777416667	0.195357189136762	0.157465540775314	0.205173612031552
2700	0.607233065485283	0.803850771833333	2.9388424275	0.198129827912758	0.158995615373684	0.209522319720083
2750	0.604836791030975	0.802371468875	2.93551888458333	0.200081645634669	0.160846959756754	0.210626370656357
2800	0.609032868466875	0.804311900166667	2.94108103916667	0.201159095279011	0.160743367148638	0.212417607305277
2850	0.611220145155833	0.805408893833333	2.94486833416667	0.204166800893267	0.163051295279187	0.216181400731637
2900	0.61778415437375	0.808701884916667	2.95375190208333	0.199784384206848	0.16126796708177	0.208409183263772
2950	0.618635215337	0.809125783375	2.954566465	0.199202359211594	0.160193644345698	0.209718074557655
3000	0.611648494972917	0.805968588125	2.94545893833333	0.199212965731558	0.159325157754244	0.209255198914669
